Asset_RevaluationsID,AssetRegisterID,Revaluation,Asset,Profit,RevalModel,RevalautionAmt,RevalutionDate,UserID,DiffDepAcc,DiffBook,ProjectDR,ProjectItemDR,ProjectCR,ProjectItemCR,PostDateTime,SCOAItemDR,SCOAItemCR,FilePath,FileName,SurplusAmount,DepreciationAdjustment,Approved,ApprovedBy,ApprovedDate
37745,2901,0,0,0,3,243890.07000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37746,2902,0,0,0,3,154113.92000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37748,2904,0,0,0,3,82881.03000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37749,2905,0,0,0,3,4948.79000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37750,2906,0,0,0,3,27473.45000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37751,2907,0,0,0,3,7152.21000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37752,2908,0,0,0,3,2989.48000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37753,2909,0,0,0,3,42271.07000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37755,2911,0,0,0,3,7664.80000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37756,2912,0,0,0,3,923.82000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37757,2913,0,0,0,3,7658.57000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37758,2914,0,0,0,3,945.95000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37759,2915,0,0,0,3,61756.43000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37760,2916,0,0,0,3,1792.76000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37761,2917,0,0,0,3,250054.46000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37762,2918,0,0,0,3,45445.49000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37763,2919,0,0,0,3,18401.93000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37764,2920,0,0,0,3,26253.41000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37765,2921,0,0,0,3,7136.96000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37766,2922,0,0,0,3,238.51000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37767,2923,0,0,0,3,26143.30000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37768,2924,0,0,0,3,51608.57000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37769,2925,0,0,0,3,23103.00000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37770,2926,0,0,0,3,3431.37000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37771,2927,0,0,0,3,7139.71000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37772,2928,0,0,0,3,28979.14000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37773,2929,0,0,0,3,70009.09000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37774,2930,0,0,0,3,54707.65000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37775,2931,0,0,0,3,603.65000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37776,2932,0,0,0,3,14528.26000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37777,2933,0,0,0,3,100780.49000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37779,2935,0,0,0,3,7664.56000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37780,2936,0,0,0,3,7152.21000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37781,2937,0,0,0,3,21997.37000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37782,2938,0,0,0,3,4950.76000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37783,2939,0,0,0,3,10701.68000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37784,2940,0,0,0,3,87355.27000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37785,2941,0,0,0,3,1.00000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37786,2942,0,0,0,3,257.75000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37787,2943,0,0,0,3,2397.88000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37788,2944,0,0,0,3,3117.65000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37789,2945,0,0,0,3,182655.46000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37790,2946,0,0,0,3,8086.90000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
37791,2947,0,0,0,3,147019.07000000,2023-06-30 00:00:00.000,271,0.00000000,0.00000000,0,0,0,0,2023-06-30 00:00:00.000,0,0,,,0.00000000,0.00000000,1,271,2023-06-30 00:00:00.000
