AssetConfig_mSCOA_ID,FinYear,TypeID,CategoryID,SubCategoryID,MeasurementTypeID,StatusID,Default,Enabled,UpLoadFile,CreatedByID,CreatedDate,ModifiedByID,ModiefiedDate
108,2023/2024,4,27,146,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,199,2024-07-27 13:37:25.093
109,2023/2024,4,27,163,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,NULL,NULL
110,2023/2024,4,27,147,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,NULL,NULL
111,2023/2024,4,27,155,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,NULL,NULL
112,2023/2024,4,14,87,1,1,NULL,1,NULL,2,2024-02-26 00:00:00.000,NULL,NULL
113,2023/2024,4,14,94,1,1,NULL,1,NULL,2,2024-02-26 00:00:00.000,NULL,NULL
114,2023/2024,4,13,181,1,1,NULL,1,NULL,2,2024-05-07 00:00:00.000,NULL,NULL
115,2024/2025,4,13,139,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,199,2024-10-20 17:56:19.143
116,2024/2025,4,14,93,2,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,196,2025-05-13 22:03:25.613
118,2024/2025,4,20,175,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,271,2025-08-05 09:29:51.353
119,2024/2025,4,21,138,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,271,2025-02-20 14:13:18.710
120,2024/2025,5,NULL,NULL,1,NULL,NULL,1,NULL,2,2024-07-12 10:29:13.927,196,2025-06-10 19:26:46.780
121,2024/2025,4,28,158,1,NULL,NULL,1,NULL,2,2024-07-12 10:29:13.927,199,2025-04-28 17:35:27.693
123,2024/2025,4,29,141,2,NULL,NULL,1,NULL,2,2024-07-12 10:29:13.927,271,2025-04-10 18:04:04.343
124,2024/2025,4,28,157,2,NULL,NULL,1,NULL,2,2024-07-12 10:29:13.927,271,2025-06-20 15:05:30.653
125,2024/2025,3,11,124,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,271,2025-06-30 08:40:00.480
126,2024/2025,4,27,NULL,2,NULL,NULL,1,NULL,2,2024-07-12 10:29:13.927,271,2025-04-10 18:16:29.933
136,2024/2025,4,14,87,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,NULL,NULL
137,2024/2025,4,14,94,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,NULL,NULL
138,2024/2025,4,13,181,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,NULL,NULL
139,2023/2024,4,19,150,1,1,NULL,1,NULL,199,2024-07-18 21:57:32.640,199,2024-07-31 13:00:25.187
140,2023/2024,4,19,161,1,1,NULL,1,NULL,199,2024-07-18 22:09:47.630,199,2024-07-31 13:05:54.440
142,2024/2025,4,19,NULL,1,1,NULL,1,NULL,199,2024-10-16 09:15:19.337,271,2025-08-05 09:32:58.503
148,2024/2025,6,30,170,NULL,NULL,NULL,1,NULL,271,2025-01-29 12:41:06.160,271,2025-01-29 14:32:29.547
149,2025/2026,4,13,139,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
150,2025/2026,4,14,93,2,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
151,2025/2026,4,20,175,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
152,2025/2026,4,21,138,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
