37428,IA001009002001004000000000000000000000,Adjustments,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74267,IA001009002001004000000000000000000000,0,NULL,IA001009002001004000000000000000000000,NULL,NULL,NULL,NULL
37429,IA001009002001005000000000000000000000,Write-offs,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74268,IA001009002001005000000000000000000000,0,NULL,IA001009002001005000000000000000000000,NULL,NULL,NULL,NULL
37430,IA001009002002002000000000000000000000,Acquisitions,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74270,IA001009002002002000000000000000000000,0,NULL,IA001009002002002000000000000000000000,NULL,NULL,NULL,NULL
37431,IA001009002002003000000000000000000000,Issues,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74271,IA001009002002003000000000000000000000,0,NULL,IA001009002002003000000000000000000000,NULL,NULL,NULL,NULL
37432,IA001009004002000000000000000000000000,Acquisitions,1,2025/2026,1,2025-06-27 14:41:21.147,240,2025-08-19 08:33:25.267,5,1,1,74280,IA001009004002000000000000000000000000,NULL,NULL,IA001009004002000000000000000000000000,NULL,2,NULL,NULL
37433,IA001009004003000000000000000000000000,Issues,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74281,IA001009004003000000000000000000000000,0,NULL,IA001009004003000000000000000000000000,NULL,NULL,NULL,NULL
37434,IA001009004004000000000000000000000000,Adjustments,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74282,IA001009004004000000000000000000000000,0,NULL,IA001009004004000000000000000000000000,NULL,NULL,NULL,NULL
37435,IA001009004005000000000000000000000000,Write-offs,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74283,IA001009004005000000000000000000000000,0,NULL,IA001009004005000000000000000000000000,NULL,NULL,NULL,NULL
37436,IA001009007001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74287,IA001009007001000000000000000000000000,0,NULL,IA001009007001000000000000000000000000,NULL,NULL,NULL,NULL
37437,IA001009007002000000000000000000000000,Acquisitions,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74288,IA001009007002000000000000000000000000,0,NULL,IA001009007002000000000000000000000000,NULL,NULL,NULL,NULL
37438,IA001009007003000000000000000000000000,Transfers,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74289,IA001009007003000000000000000000000000,0,NULL,IA001009007003000000000000000000000000,NULL,NULL,NULL,NULL
37439,IA001009007004000000000000000000000000,Sales,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74290,IA001009007004000000000000000000000000,0,NULL,IA001009007004000000000000000000000000,NULL,NULL,NULL,NULL
37440,IA001011001001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74294,IA001011001001000000000000000000000000,0,NULL,IA001011001001000000000000000000000000,NULL,NULL,NULL,NULL
37441,IA001011001002000000000000000000000000,Recognised,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74295,IA001011001002000000000000000000000000,0,NULL,IA001011001002000000000000000000000000,NULL,NULL,NULL,NULL
37442,IA001011001003000000000000000000000000,Transfers,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74296,IA001011001003000000000000000000000000,0,NULL,IA001011001003000000000000000000000000,NULL,NULL,NULL,NULL
37443,IA001011002001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74297,IA001011002001000000000000000000000000,0,NULL,IA001011002001000000000000000000000000,NULL,NULL,NULL,NULL
37444,IA001011002002000000000000000000000000,Recognised,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74298,IA001011002002000000000000000000000000,0,NULL,IA001011002002000000000000000000000000,NULL,NULL,NULL,NULL
37445,IA001011002003000000000000000000000000,Transfers,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74299,IA001011002003000000000000000000000000,0,NULL,IA001011002003000000000000000000000000,NULL,NULL,NULL,NULL
37446,IA001011003001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74300,IA001011003001000000000000000000000000,0,NULL,IA001011003001000000000000000000000000,NULL,NULL,NULL,NULL
37447,IA001011003002000000000000000000000000,Recognised,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74301,IA001011003002000000000000000000000000,0,NULL,IA001011003002000000000000000000000000,NULL,NULL,NULL,NULL
37448,IA001011003003000000000000000000000000,Transfers,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74302,IA001011003003000000000000000000000000,0,NULL,IA001011003003000000000000000000000000,NULL,NULL,NULL,NULL
37449,IA001011004001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74303,IA001011004001000000000000000000000000,0,NULL,IA001011004001000000000000000000000000,NULL,NULL,NULL,NULL
37450,IA001011004002000000000000000000000000,Transfers,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74304,IA001011004002000000000000000000000000,0,NULL,IA001011004002000000000000000000000000,NULL,NULL,NULL,NULL
37451,IA001011004004000000000000000000000000,Receipts,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74306,IA001011004004000000000000000000000000,0,NULL,IA001011004004000000000000000000000000,NULL,NULL,NULL,NULL
37452,IA002011011001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74373,IA002011011001000000000000000000000000,0,NULL,IA002011011001000000000000000000000000,NULL,NULL,NULL,NULL
37453,IA002015001018004001007000000000000000,Transfers Received,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,201888,IA002015001018004001007000000000000000,0,NULL,IA002015001018004001007000000000000000,NULL,NULL,NULL,NULL
37454,IL001002001001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74797,IL001002001001000000000000000000000000,0,NULL,IL001002001001000000000000000000000000,NULL,NULL,NULL,NULL
37455,IL001002001002000000000000000000000000,Deposits,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74798,IL001002001002000000000000000000000000,0,NULL,IL001002001002000000000000000000000000,NULL,NULL,NULL,NULL
37456,IL001002001003000000000000000000000000,Withdrawals,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74799,IL001002001003000000000000000000000000,0,NULL,IL001002001003000000000000000000000000,NULL,NULL,NULL,NULL
37457,IL001002003001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74803,IL001002003001000000000000000000000000,0,NULL,IL001002003001000000000000000000000000,NULL,NULL,NULL,NULL
37458,IL001002003002000000000000000000000000,Deposits,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74804,IL001002003002000000000000000000000000,0,NULL,IL001002003002000000000000000000000000,NULL,NULL,NULL,NULL
37459,IL001002003003000000000000000000000000,Withdrawals,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74805,IL001002003003000000000000000000000000,0,NULL,IL001002003003000000000000000000000000,NULL,NULL,NULL,NULL
37460,IL001002004002000000000000000000000000,Deposits,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74807,IL001002004002000000000000000000000000,0,NULL,IL001002004002000000000000000000000000,NULL,NULL,NULL,NULL
37461,IL001002004003000000000000000000000000,Withdrawals,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74808,IL001002004003000000000000000000000000,0,NULL,IL001002004003000000000000000000000000,NULL,NULL,NULL,NULL
37462,IL001002007001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74815,IL001002007001000000000000000000000000,0,NULL,IL001002007001000000000000000000000000,NULL,NULL,NULL,NULL
37463,IL001002007002000000000000000000000000,Deposits,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74816,IL001002007002000000000000000000000000,0,NULL,IL001002007002000000000000000000000000,NULL,NULL,NULL,NULL
37464,IL001002007003000000000000000000000000,Withdrawals,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74817,IL001002007003000000000000000000000000,0,NULL,IL001002007003000000000000000000000000,NULL,NULL,NULL,NULL
37465,IL001002009001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74821,IL001002009001000000000000000000000000,0,NULL,IL001002009001000000000000000000000000,NULL,NULL,NULL,NULL
37466,IL001002009002000000000000000000000000,Deposits,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74822,IL001002009002000000000000000000000000,0,NULL,IL001002009002000000000000000000000000,NULL,NULL,NULL,NULL
37467,IL001002009003000000000000000000000000,Withdrawals,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74823,IL001002009003000000000000000000000000,0,NULL,IL001002009003000000000000000000000000,NULL,NULL,NULL,NULL
37468,IL001002013001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74833,IL001002013001000000000000000000000000,0,NULL,IL001002013001000000000000000000000000,NULL,NULL,NULL,NULL
37469,IL001002013002000000000000000000000000,Deposits,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74834,IL001002013002000000000000000000000000,0,NULL,IL001002013002000000000000000000000000,NULL,NULL,NULL,NULL
37470,IL001002013003000000000000000000000000,Withdrawals,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74835,IL001002013003000000000000000000000000,0,NULL,IL001002013003000000000000000000000000,NULL,NULL,NULL,NULL
37471,IL001003001001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74836,IL001003001001000000000000000000000000,0,NULL,IL001003001001000000000000000000000000,NULL,NULL,NULL,NULL
37472,IL001003001002000000000000000000000000,Deposits,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74837,IL001003001002000000000000000000000000,0,NULL,IL001003001002000000000000000000000000,NULL,NULL,NULL,NULL
37473,IL001003001003000000000000000000000000,Withdrawals,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74838,IL001003001003000000000000000000000000,0,NULL,IL001003001003000000000000000000000000,NULL,NULL,NULL,NULL
37474,IL001003002002000000000000000000000000,Deposits,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74840,IL001003002002000000000000000000000000,0,NULL,IL001003002002000000000000000000000000,NULL,NULL,NULL,NULL
37475,IL001003002003000000000000000000000000,Withdrawals,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74841,IL001003002003000000000000000000000000,0,NULL,IL001003002003000000000000000000000000,NULL,NULL,NULL,NULL
37476,IL001003003001002000000000000000000000,Deposits,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,74843,IL001003003001002000000000000000000000,0,NULL,IL001003003001002000000000000000000000,NULL,NULL,NULL,NULL
37477,IL001006002001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,79946,IL001006002001000000000000000000000000,0,NULL,IL001006002001000000000000000000000000,NULL,NULL,NULL,NULL
37478,IL001006002002000000000000000000000000,Deposits,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,79947,IL001006002002000000000000000000000000,0,NULL,IL001006002002000000000000000000000000,NULL,NULL,NULL,NULL
37479,IL001006002003000000000000000000000000,Withdrawals,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,79948,IL001006002003000000000000000000000000,0,NULL,IL001006002003000000000000000000000000,NULL,NULL,NULL,NULL
37480,IL001006003001000000000000000000000000,Opening Balance,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,79949,IL001006003001000000000000000000000000,0,NULL,IL001006003001000000000000000000000000,NULL,NULL,NULL,NULL
37481,IL001006003002000000000000000000000000,Deposits,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,79950,IL001006003002000000000000000000000000,0,NULL,IL001006003002000000000000000000000000,NULL,NULL,NULL,NULL
37482,IL001006003003000000000000000000000000,Withdrawals,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,79951,IL001006003003000000000000000000000000,0,NULL,IL001006003003000000000000000000000000,NULL,NULL,NULL,NULL
37483,IL001006004001001002000000000000000000,Deposits,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,79953,IL001006004001001002000000000000000000,0,NULL,IL001006004001001002000000000000000000,NULL,NULL,NULL,NULL
37484,IL001006004001001003000000000000000000,Withdrawals,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,NULL,1,79954,IL001006004001001003000000000000000000,0,NULL,IL001006004001001003000000000000000000,NULL,NULL,NULL,NULL
