Room_ID,RoomDesc,FloorID,DateCaptured,CapturerID,DateModified,ModifierID,Enabled
256,R0200,80,2021-11-22 13:43:50.893,199,NULL,NULL,1
257,R0199,80,2021-11-22 13:44:10.773,199,NULL,NULL,1
258,R0201,80,2021-11-22 13:45:05.847,199,NULL,NULL,1
259,R0208,80,2021-11-22 13:45:59.780,199,NULL,NULL,1
260,R0205,80,2021-11-22 13:46:19.623,199,NULL,NULL,1
261,R0210,80,2021-11-22 13:46:54.013,199,NULL,NULL,1
262,R0209,80,2021-11-22 13:47:07.217,199,NULL,NULL,1
263,R0212,80,2021-11-22 13:47:40.037,199,NULL,NULL,1
264,R0064,81,2021-11-22 13:48:22.160,199,NULL,NULL,1
265,R0070,81,2021-11-22 13:48:36.347,199,2021-11-22 13:56:22.630,199,1
266,R0068,81,2021-11-22 13:49:20.807,199,NULL,NULL,1
267,R0066,81,2021-11-22 13:52:10.077,199,NULL,NULL,1
268,R0074,81,2021-11-22 13:57:17.650,199,NULL,NULL,1
269,R0076,81,2021-11-22 13:57:58.177,199,NULL,NULL,1
270,R0151,83,2021-11-22 13:58:31.333,199,NULL,NULL,1
271,R0152,83,2021-11-22 13:58:58.590,199,NULL,NULL,1
272,R0155,83,2021-11-22 13:59:18.493,199,NULL,NULL,1
273,R0157,83,2021-11-22 13:59:41.283,199,NULL,NULL,1
274,R0158,83,2021-11-22 14:00:08.917,199,NULL,NULL,1
275,R0159,83,2021-11-22 14:01:51.883,199,NULL,NULL,1
276,R0161,83,2021-11-22 14:03:47.333,199,NULL,NULL,1
277,R0162,83,2021-11-22 14:04:13.577,199,NULL,NULL,1
278,R0149,83,2021-11-22 14:36:20.783,199,2021-11-23 12:07:42.567,199,1
279,R0164,83,2021-11-22 14:36:56.610,199,NULL,NULL,1
280,R0165,83,2021-11-22 14:37:40.393,199,NULL,NULL,1
281,R0166,83,2021-11-22 14:39:02.190,199,NULL,NULL,1
282,R0167,83,2021-11-22 14:39:21.920,199,NULL,NULL,1
283,R0217,83,2021-11-22 14:39:43.503,199,NULL,NULL,1
284,R0171,84,2021-11-22 15:20:47.267,199,NULL,NULL,1
285,R0169,84,2021-11-22 15:21:16.753,199,NULL,NULL,1
286,R0176,84,2021-11-22 15:21:34.060,199,NULL,NULL,1
