AssetCIDMSSubComponentTypeID,AssetCIDMSSubComponentTypeDesc,AssetCIDMSComponentTypeID,Infrastructure,Nature,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Default
92,Voice Recorder,360,1,1,1,2021-05-07 17:52:20.507,199,NULL,NULL,NULL
93,Wall unit,361,1,1,1,2021-05-07 17:52:42.027,199,NULL,NULL,NULL
94,Water Dispenser,364,1,1,1,2021-05-07 17:53:04.437,199,NULL,NULL,NULL
95,Whiteboard,362,1,1,1,2021-05-07 17:53:25.887,199,NULL,NULL,NULL
96,Workstation,363,0,1,1,2021-05-07 17:53:48.623,199,2023-11-09 12:06:37.407,339,NULL
97,BROWNING FIREARM 9MM,368,0,1,1,2021-05-07 18:02:47.843,199,2022-09-15 14:08:17.310,199,NULL
98,Haelgeweer,369,1,1,1,2021-05-07 18:03:23.253,199,NULL,NULL,NULL
99,NORINCO 213 9MMP PISTOLS,370,1,1,1,2021-05-07 18:03:40.867,199,NULL,NULL,NULL
100,NORINCO NZ 75,371,1,1,1,2021-05-07 18:04:00.360,199,NULL,NULL,NULL
101,PISTOL HELWAN KAL,372,1,1,1,2021-05-07 18:04:20.340,199,NULL,NULL,NULL
102,PISTOL NORINCO KAL,373,1,1,1,2021-05-07 18:04:40.340,199,NULL,NULL,NULL
103,Revolver,374,1,1,1,2021-05-07 18:05:00.583,199,NULL,NULL,NULL
104,Security System,375,1,1,1,2021-05-07 18:05:23.450,199,NULL,NULL,NULL
105,Bar Fridge,273,1,1,1,2021-05-11 08:45:42.777,199,NULL,NULL,NULL
106,Megaphone,273,1,1,1,2021-05-11 08:46:07.083,199,NULL,NULL,NULL
107,Podium,273,1,1,1,2021-05-11 08:46:18.310,199,NULL,NULL,NULL
108,Battery Charger,387,1,1,1,2021-05-11 08:47:13.140,199,NULL,NULL,NULL
109,Bench Presser,388,1,1,1,2021-05-11 08:47:29.627,199,NULL,NULL,NULL
110,Bin,389,1,1,1,2021-05-11 08:47:50.537,199,NULL,NULL,NULL
111,Blower,390,1,1,1,2021-05-11 08:48:14.120,199,NULL,NULL,NULL
112,Chainsaw,385,0,1,1,2021-05-11 08:48:36.860,199,2022-09-15 14:54:08.090,199,NULL
113,Compactor,407,1,1,1,2021-05-11 08:49:05.160,199,NULL,NULL,NULL
114,Compressor,408,1,1,1,2021-05-11 08:49:26.807,199,NULL,NULL,NULL
115,Concrete Cutter,415,0,1,1,2021-05-11 08:49:45.727,199,2023-03-16 09:28:07.337,271,NULL
116,Converter,401,1,1,1,2021-05-11 08:50:07.350,199,NULL,NULL,NULL
117,Crane,409,1,1,1,2021-05-11 08:50:26.443,199,NULL,NULL,NULL
