133,Pointsentia Rd,1,2017-07-02 14:47:13.000,1,NULL,NULL,133,NULL,NULL
134,Aloe Lane,1,2017-07-02 14:47:13.000,1,NULL,NULL,134,NULL,NULL
135,Ext 07,1,2017-07-02 14:47:13.000,1,NULL,NULL,135,NULL,NULL
136,Southernwood,1,2017-07-02 14:47:13.000,1,NULL,NULL,136,NULL,NULL
137,Centane Road Section,1,2017-07-02 14:47:13.000,1,NULL,NULL,137,NULL,NULL
138,Merriman,1,2017-07-02 14:47:13.000,1,NULL,NULL,138,NULL,NULL
139,Butterworth Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,139,NULL,NULL
140,Msobomvu T'Ship,1,2017-07-02 14:47:13.000,1,NULL,NULL,140,NULL,NULL
141,Msobomvu T/Ship,1,2017-07-02 14:47:13.000,1,NULL,NULL,141,NULL,NULL
142,Msobomvu Township,1,2017-07-02 14:47:13.000,1,NULL,NULL,142,NULL,NULL
143,Msobomvu Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,143,NULL,NULL
144,Msobomvu,1,2017-07-02 14:47:13.000,1,NULL,NULL,144,NULL,NULL
145,Robinson,1,2017-07-02 14:47:13.000,1,NULL,NULL,145,NULL,NULL
146,Msobomvu T'Ship,1,2017-07-02 14:47:13.000,1,NULL,NULL,146,NULL,NULL
147,Msobomvu,1,2017-07-02 14:47:13.000,1,NULL,NULL,147,NULL,NULL
148,Ext 9,1,2017-07-02 14:47:13.000,1,NULL,NULL,148,NULL,NULL
149,Unknown,1,2017-07-02 14:47:13.000,1,NULL,NULL,149,NULL,NULL
150,Ext 09,1,2017-07-02 14:47:13.000,1,NULL,NULL,150,NULL,NULL
151,Msobomvu,1,2017-07-02 14:47:13.000,1,NULL,NULL,151,NULL,NULL
152,None,1,2017-07-02 14:47:13.000,1,NULL,NULL,152,NULL,NULL
153,Msobomvu,1,2017-07-02 14:47:13.000,1,NULL,NULL,153,NULL,NULL
154,Mcubakazi,1,2017-07-02 14:47:13.000,1,NULL,NULL,154,NULL,NULL
155,Msoobmvu,1,2017-07-02 14:47:13.000,1,NULL,NULL,155,NULL,NULL
156,Mchubakazi,1,2017-07-02 14:47:13.000,1,NULL,NULL,156,NULL,NULL
157,Cub,1,2017-07-02 14:47:13.000,1,NULL,NULL,157,NULL,NULL
158,Mchubakazi T/Ship,1,2017-07-02 14:47:13.000,1,NULL,NULL,158,NULL,NULL
159,Mchubakazi,1,2017-07-02 14:47:13.000,1,NULL,NULL,159,NULL,NULL
160,Mcubakazi,1,2017-07-02 14:47:13.000,1,NULL,NULL,160,NULL,NULL
161,Mchubakazi Township,1,2017-07-02 14:47:13.000,1,NULL,NULL,161,NULL,NULL
162,170 Van Wyk Street,1,2017-07-02 14:47:13.000,1,NULL,NULL,162,NULL,NULL
163,None,1,2017-07-02 14:47:13.000,1,NULL,NULL,163,NULL,NULL
164,Mchubakazi T'Ship,1,2017-07-02 14:47:13.000,1,NULL,NULL,164,NULL,NULL
165,Cuba,1,2017-07-02 14:47:13.000,1,NULL,NULL,165,NULL,NULL
166,Cuba T/Ship,1,2017-07-02 14:47:13.000,1,NULL,NULL,166,NULL,NULL
167,Cuba,1,2017-07-02 14:47:13.000,1,NULL,NULL,167,NULL,NULL
168,Cuba,1,2017-07-02 14:47:13.000,1,NULL,NULL,168,NULL,NULL
169,Cuba Townhip,1,2017-07-02 14:47:13.000,1,NULL,NULL,169,NULL,NULL
170,Cuba Township,1,2017-07-02 14:47:13.000,1,NULL,NULL,170,NULL,NULL
171,Cuba T'Ship,1,2017-07-02 14:47:13.000,1,NULL,NULL,171,NULL,NULL
172,Cuba,1,2017-07-02 14:47:13.000,1,NULL,NULL,172,NULL,NULL
173,Ext 12,1,2017-07-02 14:47:13.000,1,NULL,NULL,173,NULL,NULL
174,Donrobeto Rewlapch,1,2017-07-02 14:47:13.000,1,NULL,NULL,174,NULL,NULL
175,Cuba,1,2017-07-02 14:47:13.000,1,NULL,NULL,175,NULL,NULL
176,2624 Cuba,1,2017-07-02 14:47:13.000,1,NULL,NULL,176,NULL,NULL
177,Ext.12,1,2017-07-02 14:47:13.000,1,NULL,NULL,177,NULL,NULL
178,Ibika,1,2017-07-02 14:47:13.000,1,NULL,NULL,178,NULL,NULL
179,02 Ibika T/Ship,1,2017-07-02 14:47:13.000,1,NULL,NULL,179,NULL,NULL
180,Ibika T'Ship,1,2017-07-02 14:47:13.000,1,NULL,NULL,180,NULL,NULL
181,1 Timane Str. Idutywa,1,2017-07-02 14:47:13.000,1,NULL,NULL,181,NULL,NULL
182,P/Bag X385 Pretoria,1,2017-07-02 14:47:13.000,1,NULL,NULL,182,NULL,NULL
183,1 Gazini Aa,1,2017-07-02 14:47:13.000,1,NULL,NULL,183,NULL,NULL
184,Nqabara Loc. Idutywa,1,2017-07-02 14:47:14.000,1,NULL,NULL,184,NULL,NULL
185,P.O. Box 1194,1,2017-07-02 14:47:14.000,1,NULL,NULL,185,NULL,NULL
186,Unknown,1,2017-07-02 14:47:14.000,1,NULL,NULL,186,NULL,NULL
187,Ibika Township,1,2017-07-02 14:47:14.000,1,NULL,NULL,187,NULL,NULL
188,Ibika Township,1,2017-07-02 14:47:14.000,1,NULL,NULL,188,NULL,NULL
189,Bika Township,1,2017-07-02 14:47:14.000,1,NULL,NULL,189,NULL,NULL
190,Bell Street,1,2017-07-02 14:47:14.000,1,NULL,NULL,190,NULL,NULL
191,Ibika Township,1,2017-07-02 14:47:14.000,1,NULL,NULL,191,NULL,NULL
192,P.O Box 27560,1,2017-07-02 14:47:14.000,1,NULL,NULL,192,NULL,NULL
193,Extension 18,1,2017-07-02 14:47:14.000,1,NULL,NULL,193,NULL,NULL
194,Extension 14,1,2017-07-02 14:47:14.000,1,NULL,NULL,194,NULL,NULL
195,Vacant,1,2017-07-02 14:47:14.000,1,NULL,NULL,195,NULL,NULL
196,Mcubakazi,1,2017-07-02 14:47:14.000,1,NULL,NULL,196,NULL,NULL
197,Southernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,197,NULL,NULL
198,Zithulele Industry,1,2017-07-02 14:47:14.000,1,NULL,NULL,198,NULL,NULL
199,Vully Vally,1,2017-07-02 14:47:14.000,1,NULL,NULL,199,NULL,NULL
