ID,Filename,UserId,IsDonated,Activate_Validation,Processed,Date_Created,Job_Status,Date_Ran,No_RecordsInserted,No_RecodsNotValidating,Total_Records,ValidationError_Path,ServiceID,ProcessDate,RunID,ContractNumber
568,Fencing of Main Building-takeon LN.csv,238,2,1,0,2025-08-04 11:25:05.943,Error Reading CSV File. File Not In Correct Format. Header with name `In Service Date` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-08-04 11:25:23.237,NULL,
569,Fencing of Main Building-takeon LN.csv,238,2,1,0,2025-08-04 11:28:17.190,Completed Unsuccessfully! With Validation Error Log,NULL,0,7,7,Error_Job_569.csv,1,2025-08-04 11:28:23.587,NULL,
570,Fencing of Main Building-takeon LN.csv,238,2,1,0,2025-08-04 11:33:20.943,Completed Unsuccessfully! With Validation Error Log,NULL,0,7,7,Error_Job_570.csv,1,2025-08-04 11:33:24.060,NULL,
571,Erection of 6 highmast light-takeon LN.csv,238,2,1,0,2025-08-04 11:39:39.340,Completed Unsuccessfully! With Validation Error Log,NULL,0,6,12,Error_Job_571.csv,1,2025-08-04 11:40:24.597,NULL,
572,Erection of 6 highmast light-takeon LN.csv,238,2,1,0,2025-08-04 11:42:06.210,Completed Successfully!,NULL,0,0,12,NULL,1,2025-08-04 11:42:25.290,95,
573,162 Streetlight at ext.7-takeon LN.csv,238,2,1,0,2025-08-04 11:48:03.010,Error Reading CSV File. File Not In Correct Format. Header with name `Carrying Amount` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-08-04 11:48:25.400,NULL,
574,162 Streetlight at ext.7-takeon LN.csv,238,2,1,0,2025-08-04 11:50:06.000,Completed Unsuccessfully! With Validation Error Log,NULL,0,122,122,Error_Job_574.csv,1,2025-08-04 11:50:27.050,NULL,
575,162 Streetlight at ext.7-takeon LN.csv,238,2,1,0,2025-08-04 11:55:11.730,Completed Unsuccessfully! With Validation Error Log,NULL,0,122,122,Error_Job_575.csv,1,2025-08-04 11:55:29.313,NULL,
576,Fencing of Main Building-takeon.csv,196,2,1,0,2025-08-04 11:55:55.563,Error Reading CSV File. File Not In Correct Format. Header with name `In Service Date` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-08-04 11:56:29.470,NULL,
577,Fencing of Main Building-takeon LN.csv,196,2,1,0,2025-08-04 11:58:57.787,Completed Unsuccessfully! With Validation Error Log,NULL,0,7,7,Error_Job_577.csv,1,2025-08-04 11:59:29.837,NULL,
578,162 Streetlight at ext.7-takeon LN.csv,238,2,1,0,2025-08-04 11:58:58.297,Completed Unsuccessfully! With Validation Error Log,NULL,0,92,122,Error_Job_578.csv,1,2025-08-04 11:59:31.123,NULL,
579,162 Streetlight at ext.7-takeon LN.csv,238,2,1,0,2025-08-04 12:01:08.203,Completed Successfully!,NULL,0,0,122,NULL,1,2025-08-04 12:01:34.827,96,
