AssetCIDMSComponentTypeID,AssetCIDMSComponentTypeDesc,AssetCIDMSAssetTypeID,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Default
226,Speed hump,309,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
227,Sports field,329,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
228,Squash court,329,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
229,Station earthing mat and electrodes,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
230,Steel structure,4,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
231,Steel structure,21,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
232,Storage area network,50,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
233,Stormwater reserve,149,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
234,Stormwater servitude,327,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
235,Street lights,301,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
236,Street rubbish bin,309,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
237,Subsoil drains,21,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
238,Subsoil drains,77,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
239,Superheater,3,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
240,Surge arrestor,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
241,Surge arrestor,236,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
242,Swimming pool,329,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
243,Tank,21,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
244,Telemetry,56,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
245,Tennis court,329,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
246,Timber pole structure,21,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
247,Traffic island,309,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
248,Traffic signal units,331,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
249,Transformer NECRT,236,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
250,Transformer NER,236,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
251,Transformer unit,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
252,Tunnel bore structure,21,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
253,Turbine,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
254,Turbine,332,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
255,Uninterrupted power supply,103,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
256,Valve - fuel,282,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
257,Valve - gas,282,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
258,Valve - steam,282,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
